number,name,sunday_start_time,sunday_end_time,monday_start_time,monday_end_time,tuesday_start_time,tuesday_end_time,wednesday_start_time,wednesday_end_time,thursday_start_time,thursday_end_time,friday_start_time,friday_end_time,saturday_start_time,saturday_end_time
A96,Dream Mall,11:00,22:00,11:00,22:00,11:00,22:00,11:00,22:00,11:00,22:00,11:00,22:00,11:00,22:00
C01,Parkview Green,10:00,22:00,10:00,22:00,10:00,22:00,10:00,22:00,10:00,22:00,10:00,22:00,10:00,22:00
C02,Kerry Centre,10:00,22:00,10:00,22:00,10:00,22:00,10:00,22:00,10:00,22:00,10:00,22:00,10:00,22:00
C05,Suzhou,9:00,21:00,10:00,20:00,10:00,20:00,10:00,20:00,10:00,20:00,10:00,20:00,9:00,21:00
D04,The Dubai Mall,10:00,0:00,10:00,0:00,10:00,0:00,10:00,0:00,10:00,0:00,10:00,0:00,10:00,0:00
D06,Abu Dhabi Marina Mall,10:00,22:00,10:00,22:00,10:00,22:00,10:00,22:00,10:00,22:00,10:00,22:00,10:00,22:00
D08,World Trade Centre,10:00,22:00,10:00,22:00,10:00,22:00,10:00,22:00,10:00,22:00,10:00,22:00,10:00,22:00
D10,Mall of Emirates,10:00,22:00,10:00,22:00,10:00,22:00,10:00,22:00,10:00,22:00,10:00,22:00,10:00,22:00
FR447,Marseille Prado,,,9:30,20:00,9:30,20:00,9:30,20:00,9:30,20:00,9:30,20:00,9:30,20:00
DE070,Wertheim,,,10:00,20:00,10:00,20:00,10:00,20:00,10:00,20:00,10:00,20:00,10:00,20:00
F07,Plaza Indonesia,10:00,22:00,10:00,22:00,10:00,22:00,10:00,22:00,10:00,22:00,10:00,22:00,10:00,22:00
FR417,Lyon,,,10:00,20:00,10:00,20:00,10:00,20:00,10:00,20:00,10:00,20:00,10:00,20:00
FR444,Paris Haussman Galeries Lafayette,11:00,19:00,9:30,20:30,9:30,20:30,9:30,20:30,9:30,20:30,9:30,20:30,9:30,20:30
DE022,NÃ¼rnberg Breuninger,,,10:00,20:00,10:00,20:00,10:00,20:00,10:00,20:00,10:00,20:00,9:30,20:00
FR445,Lyon Galeries Lafayette,,,9:30,20:00,9:30,20:00,9:30,20:00,9:30,20:00,9:30,20:00,9:30,20:00
FR446,Cap 3000 Galeries Lafayette,11:00,19:00,10:00,20:30,10:00,20:30,10:00,20:30,10:00,20:30,10:00,20:30,10:00,20:30
FR447,Marseille Prado,,,9:30,20:00,9:30,20:00,9:30,20:00,9:30,20:00,9:30,20:00,9:30,20:00
KZ1,Kazakhstan Dodsky Mall,10:00,22:00,10:00,22:00,10:00,22:00,10:00,22:00,10:00,22:00,10:00,22:00,10:00,22:00